survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,group_survival_rate,group_mean_fare,group_median_age,group_passenger_count,log_fare_zscore
0,3,male,22.0,1,0,7.25,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,-0.8797405693934278
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,0.9680851063829787,106.12579787234043,35.0,94,1.3612199269233833
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Unknown,Southampton,yes,True,0.5,16.118809722222224,21.5,144,-0.798539974052802
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,0.9680851063829787,106.12579787234043,35.0,94,1.0620380556287106
0,3,male,35.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,3,male,25.0,0,0,8.4583,Q,Third,man,True,Unknown,Queenstown,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7386163019798164
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,0.36885245901639346,67.22612704918032,40.0,122,1.038145562232327
0,3,male,2.0,3,1,21.075,S,Third,child,False,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.13649913806595457
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Unknown,Southampton,yes,False,0.5,16.118809722222224,21.5,144,-0.48145578049281285
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Unknown,Cherbourg,yes,False,0.9210526315789473,21.97012105263158,28.0,76,0.4894379098126231
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,0.5,16.118809722222224,21.5,144,-0.09156500424402261
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,0.9680851063829787,106.12579787234043,35.0,94,0.36526093570402607
0,3,male,20.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True,0.13544668587896252,12.661632564841499,25.0,347,-0.7841792430073967
0,3,male,39.0,1,5,31.275,S,Third,man,True,Unknown,Southampton,no,False,0.13544668587896252,12.661632564841499,25.0,347,0.5286989276421437
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Unknown,Southampton,no,True,0.5,16.118809722222224,21.5,144,-0.806763380796033
